"id","MIN","MIN"
28807,1243.22462782712,1286.83896223507
22559,399.67018729698,412.593602757948
28647,801.493650109502,824.116978153416
22141,555.130252041733,570.724229258657
26116,2182.17024605612,2327.4733207216
27111,1871.80473373375,1883.40306624893
23420,462.656796707886,448.934549154414
21464,181.655619000517,175.293248304571
29405,767.801965305418,813.712223136593
27107,241.593299193249,252.26297123245
26141,770.156866251454,792.468625864247
25928,2010.98631051759,2113.80356822112
24845,707.293921117017,744.925229628031
28804,351.828062546359,363.396456787502
26772,597.278123152738,625.066918305394
27413,779.431639496201,789.289048094784
7261,887.614531797326,924.136034570567
31424,869.294240885267,896.867593076967
3940,395.974761788551,413.621295829645
16238,537.9142069382,558.799026147714
29407,1262.42843001602,1300.41228979999
24011,373.147214537752,388.0947727896
8542,362.458293286925,374.42421605507
14448,732.091310459548,745.046560981213
19611,194.881724997332,193.972727135649
30068,981.910204300611,1020.00119631317
26802,360.305703719769,368.220649514517
26129,2020.13286287733,2100.60115023802
7080,546.121258744298,548.510118515523
23193,518.205026528303,539.857218218873
19853,227.292851174845,240.449886689811
26592,2097.12423724184,2266.58739688311
22554,167.489163829262,168.400762233823
24213,528.278951910873,558.000515634752
23608,280.693600216221,297.762123218741
7874,289.502148485936,290.277137452163
19312,159.990396535415,168.571558876168
25260,851.665737724131,916.104277817025
28220,938.247729690121,995.659014448933
10550,430.689311755682,444.816877892181
27583,275.065021355909,298.629221348233
6341,865.675131928473,894.553889026644
26128,1898.4518267357,1967.6652916058
25062,771.326284983774,825.191595810122
23817,1023.02273694312,1067.73687343683
19840,858.264847074929,884.477376386643
11094,393.842199075459,424.389616967904
10683,190.715469618824,191.429367235336
29850,1749.17114273072,1821.11986954948
26117,391.391858381435,415.242980484854
30071,1533.82738522206,1673.98583443614
11530,374.04189916009,387.833634445252
26123,1303.63888317139,1371.43702102843
20497,710.278089907407,730.147324358813
28641,203.788227952176,212.569779080163
22370,1456.91145213197,1529.41063742354
25269,363.164698330917,369.959594706349
14891,371.444946158531,392.134070272063
16237,996.408680151368,1016.60309360214
10366,175.671739706032,178.915264887115
26591,243.539067808425,256.876154471097
22372,255.330656815202,290.158700957776
19151,899.107203213213,935.24473591242
6719,533.340602362848,540.581536515523
17470,1733.91872980367,1851.93260138995
23603,134.45577837832,139.500306573987
29629,1791.25745714988,1832.05904588007
16239,486.56605347079,506.091741190533
17744,1521.63029998133,1506.86634384564
6998,725.387666195045,746.382840073063
18991,187.881464898772,191.429367235336
21215,890.162670265736,927.234839892212
31415,598.167158970409,633.061352230192
26132,1537.34637474983,1641.16923419159
23191,589.001844587908,603.085946764641
21208,121.534386392836,130.160076018173
30752,1493.09262850421,1551.7594003208
27883,591.626926127795,569.861668845388
24020,304.170821956258,308.554734338606
23195,600.326903509354,620.621231702494
16244,201.39404838806,208.942219699033
24218,686.98551628355,711.725196243409
23421,1405.55807896589,1500.07161222005
17274,1292.78830890608,1282.40889115225
25064,169.197822435938,172.929422998446
8219,1659.20703437308,1788.89801881547
25264,1578.69834840661,1747.5517719977
23604,1212.00733567308,1242.45558606406
6639,715.197308273596,728.545172748598
26105,1206.85022561649,1292.05266214154
23116,1082.52140981825,1170.3628782651
28040,1209.32334476253,1241.37689995461
27884,628.094518993088,672.667178751886
26363,1010.53073980553,1051.56311399343
26803,1620.88461762378,1749.69248750546
20283,1375.34395042725,1405.36904455769
30517,1960.03586608625,2010.27098692516
6753,215.26828390075,226.871907509517
27736,561.032676985708,591.840533056046
30062,205.887026123958,210.432551001716
27241,2139.16771159537,2284.90611805223
11532,339.311039476058,358.527338712911
13770,411.814990775718,415.81906565511
25261,1103.92397111571,1159.27329617251
29204,291.711773543019,296.645670391919
30992,1394.83736928974,1418.15502536678
16230,1285.94671404494,1337.65642608521
30759,768.058369234979,822.234274293971
28644,1522.42998869983,1576.60735286885
27579,363.212169633538,381.462627152618
29205,367.220045178656,371.987657825932
20088,726.966101302444,744.803417068139
26122,440.508869104353,454.326758265379
27416,187.135812286372,186.508135721547
7266,1167.18988527138,1258.6736709966
4002,868.07385548545,894.68822600079
6782,419.218259725486,430.002209751069
26776,1168.05807443889,1210.99028128017
19852,221.911892500737,229.904730779424
12293,256.356739054775,265.288170738873
28800,215.473417731211,231.842141714577
30518,644.985188679996,675.384554099639
22861,1373.54953523447,1415.24127814367
27411,786.969550914038,795.496033513705
26595,156.601890436877,161.627204904488
30997,671.811709338171,725.584648543315
8227,1055.24191051002,1075.91271504911
24435,1175.98437082424,1218.28972521342
23811,813.080252360681,848.326330141443
27738,396.217549885787,407.209333965602
10827,235.810789900989,253.515992199511
21206,605.495205324697,621.229281918005
17757,238.93673911718,253.647759164181
19303,687.104145005811,702.837983057226
21460,1168.36737140197,1216.08747571044
25934,729.453144090267,753.794814261219
15327,264.841754562781,280.948009336753
20735,596.97588021398,638.72355362679
10548,1049.28038506554,1123.31318754395
20103,1541.77056790022,1587.87256034688
26364,1221.20930432203,1297.77208027489
26771,608.33365855121,636.777183317029
12288,256.356739054775,265.288170738873
7267,1123.37094570668,1188.69752289206
16692,839.819542153266,846.625158604312
7859,918.615886454362,915.197328945454
27739,679.724081104497,691.305782564284
26100,1715.76774385279,1775.03815928451
23221,636.819249679261,640.846541797538
25442,262.789444760186,269.204113117988
22146,796.944423500809,869.97910203397
20746,896.729807438423,921.942445167906
29627,1319.76517740077,1363.47261359331
22562,876.661359149377,912.113273971111
11535,271.772487472675,292.954643568528
27881,588.502264068236,623.089786081555
26774,545.848639352929,560.886742372471
26962,1222.00558789275,1271.87479017912
23818,1119.93864918069,1144.80504665777
4045,431.269523068037,445.996716934135
25931,1559.91392501495,1603.60941489403
20104,1877.92051980369,1949.48650734046
24212,681.233457638722,718.898126711553
3900,363.675111202949,360.852727604053
11946,627.141918465352,629.698760389913
20498,434.343457945144,438.863698079446
17743,1560.74428894561,1691.12592534598
28801,1622.04263166272,1741.25853369785
19608,138.112483085351,142.007766790368
27108,549.9575594692,565.885557911921
30294,789.543859242508,792.810236364244
17276,1274.34790284304,1389.89644736146
16241,1274.80072847002,1298.38304731316
20287,949.848266503774,1036.08299842066
31194,358.43920821659,361.289437442596
30287,550.286335049579,588.213122551879
3991,642.017340878489,663.735073896852
23816,623.493189515447,673.752970944364
26099,613.565601921544,619.733440620148
30295,1945.08770344697,2078.02666507182
20511,571.177926586271,581.876558469189
13245,1209.66880708562,1247.4569113286
29841,1976.09084402989,2089.93298649948
23611,1067.36503466204,1137.32620068316
11941,791.078468120022,823.837299631018
21207,950.261897036747,976.621850138595
17474,856.039667653947,873.113846100059
26805,541.485405766767,556.861904265183
26104,1659.76608839743,1792.31154918359
7504,1420.23542726264,1501.69148178219
28222,280.693600216221,297.762123218741
26362,211.772685259115,232.616936844409
28980,447.08530446681,464.563859638493
26587,1122.36626888159,1177.90130581192
25933,1401.2086394771,1456.47966110834
26134,1203.15497480033,1206.77467511444
6648,554.577003968441,605.081164806059
25055,221.349432906816,208.341699454598
18665,1317.28757054258,1381.08024737449
23618,228.783275467602,248.464702110344
24629,640.717957325448,665.968448587237
23201,508.950379324083,537.112244683947
29849,324.138384216098,349.862022273334
26961,1479.58567465706,1596.84614032965
28482,1229.32679792172,1314.5678557647
28979,1202.53813631629,1279.39381448468
31191,1269.51480019899,1317.19786099923
8960,902.690344563935,907.143873060732
29408,407.238147796499,421.965414048468
23425,955.848354877215,968.756497948927
23418,378.45863958403,383.878711559903
14057,1695.27594742446,1819.61659321899
20274,523.611646961443,552.085944919466
30288,1893.77767215039,1997.4914188324
27580,1442.43052768036,1528.45825571676
9286,211.832013184504,220.886053616208
27414,337.841392542512,350.613616949296
8398,807.503967060791,856.355702585474
21211,1428.09208299288,1486.78540902146
22553,2177.28762761996,2236.74842500786
28808,749.481004755563,818.762658303286
23423,1922.31341819802,2129.81112858452
