"id","MIN","MAX"
28807,1114.24886885714,1211.62471985714
22559,445.494526858585,448.215121619047
28647,597.002904375901,649.677316746031
22141,542.268853992045,554.866918849206
26116,1585.15627692063,1685.78357866667
27111,1744.91616566667,1834.2501697619
23420,652.329987999999,691.834877523808
21464,166.938415468254,170.950500809524
29405,767.960479999999,817.958470666666
27107,319.744021357142,323.659412285714
26141,596.16215712554,636.636894653679
25928,1831.34326428571,1930.87655166667
24845,726.937842380951,794.881706333331
28804,414.429079508772,447.249741428571
26772,625.949713136363,628.983663666666
27413,1374.04046709524,1449.36142122222
7261,874.680579344155,913.697189571427
31424,1022.407735,1061.32261644444
3940,339.366581905597,350.001871546898
16238,626.271128545093,632.971292428571
29407,1287.24026533333,1320.37074785714
24011,325.939315190476,355.869638952381
8542,368.167239279034,381.77246258157
14448,656.975372338383,674.755697428571
19611,261.392408294373,271.026662095238
30068,1162.00783733333,1270.05433533333
26802,405.453386999999,421.501305333333
26129,1838.21133828571,1884.22429966667
7080,598.687040291979,613.489577507936
23193,513.90039984127,568.37371311111
19853,255.865589294372,264.140979904762
26592,1866.99235733333,1966.927529
22554,175.073274666666,182.742919785714
24213,611.431776467531,648.763658857142
23608,273.933568,312.510090428571
7874,358.480677396681,352.205609148268
19312,141.360629611833,145.684423153846
25260,750.017298714285,772.894098492061
28220,709.079203809522,758.183728523808
10550,380.539591094627,385.992472238095
27583,349.132954435897,383.920992666666
6341,685.580327761905,710.639232000001
26128,1799.59139571429,1815.56292166667
25062,760.987625412698,806.687084999999
23817,1224.48619866667,1343.64680727273
19840,817.167741428571,835.09189988095
11094,435.499103523809,488.296915047618
10683,193.067100904762,197.336134285714
29850,1724.72574933333,1823.05220409524
26117,418.819035430735,426.281488406926
30071,1551.69068978877,1664.15849174603
11530,417.829663356532,430.448213748237
26123,996.731627,1109.27082166667
20497,774.170877666666,809.249452428569
28641,398.746337842105,408.450687666667
22370,1292.7288445,1428.36849433333
25269,378.039081366946,392.151705133518
14891,425.115334889723,421.294875264069
16237,1069.4744465,1063.120558
10366,144.661887841991,147.051197487179
26591,299.93542552381,307.995503666667
22372,248.339895174603,289.173717
19151,1070.20314466667,1115.17075042857
6719,485.884241079365,489.068222523809
17470,1536.06853004762,1731.16180588889
23603,125.936746199134,133.991867915751
29629,1850.919326,1817.89614966667
16239,497.674094777777,487.599877380952
17744,1500.3126755,1472.37535133333
6998,629.87802795238,659.537254666666
18991,193.451120904762,197.336134285714
21215,933.651866333333,958.884229761905
31415,618.151771419191,627.340418246753
26132,1546.04681728572,1570.35435333333
23191,610.637594142856,630.208853015871
21208,122.028641103896,126.679749868132
30752,1457.60449574892,1500.04681154113
27883,585.546966444444,580.329843285714
24020,424.389087666667,434.855398333333
23195,638.347112666666,641.184240833333
16244,229.988926,250.539027888889
24218,761.268164380951,811.053522999997
23421,1329.15628566666,1419.118803
